Minggu,Harga/week
1,27714.285714285714
2,28714.285714285714
3,30000.0
4,30000.0
5,20714.285714285714
6,20000.0
7,20000.0
8,20000.0
9,20000.0
10,20000.0
11,20000.0
12,20857.14285714286
13,22000.0
14,24357.14285714286
15,25000.0
16,25000.0
17,25000.0
18,25142.85714285714
19,27000.0
20,27714.285714285714
21,28000.0
22,28000.0
23,28000.0
24,28000.0
25,28000.0
26,27785.714285714286
27,25000.0
28,25000.0
29,25000.0
30,25000.0
31,25000.0
32,25714.285714285714
33,25000.0
34,25000.0
35,25000.0
36,25000.0
37,16142.857142857143
38,19000.0
39,20000.0
40,21428.571428571428
41,22000.0
42,22000.0
43,25000.0
44,25000.0
45,25000.0
46,25000.0
47,25000.0
48,25000.0
49,25000.0
50,30000.0
51,31428.571428571428
52,35000.0
53,34857.142857142855
54,31285.714285714286
55,28000.0
56,26857.14285714286
57,25000.0
58,25000.0
59,26428.571428571428
60,30000.0
61,30000.0
62,30000.0
63,40000.0
64,39642.857142857145
65,40357.142857142855
66,42916.66666666667
67,45833.33333333333
68,48750.0
69,51666.66666666667
70,54404.76190476191
71,50714.28571428572
72,37142.857142857145
73,35000.0
74,30714.285714285714
75,30000.0
76,33214.28571428572
77,35000.0
78,35000.0
79,35000.0
80,36714.28571428572
81,36904.76190476191
82,35095.23809523809
83,35000.0
84,31785.714285714286
85,30000.0
86,32142.85714285714
87,30214.285714285714
88,30000.0
89,30000.0
90,30000.0
91,28142.85714285714
92,28285.714285714286
93,29000.0
94,29285.714285714286
95,33571.42857142857
96,35000.0
97,35000.0
98,35000.0
99,40000.0
100,40000.0
101,33928.57142857143
102,30000.0
103,29142.85714285714
104,28285.714285714286
105,27428.571428571428
106,28500.0
107,28285.714285714286
108,28000.0
109,29142.85714285714
110,34285.71428571428
111,34428.57142857143
112,36285.71428571428
113,37571.42857142857
114,30714.285714285714
115,30000.0
116,32000.0
117,34714.28571428572
118,35285.71428571428
119,35642.857142857145
120,34428.57142857143
121,34285.71428571428
122,31142.85714285714
123,30000.0
124,29142.85714285714
125,24428.571428571428
126,22714.285714285714
127,23000.0
128,22928.571428571428
129,22571.428571428572
130,19714.285714285714
131,18000.0
132,18000.0
133,18571.428571428572
134,20000.0
135,20000.0
136,20000.0
137,20000.0
138,20000.0
139,23928.571428571428
140,25000.0
141,25000.0
142,25000.0
143,26571.428571428572
144,27000.0
145,27000.0
146,27000.0
147,27000.0
148,27000.0
149,28928.571428571428
150,25714.285714285714
151,24285.714285714286
152,20000.0
153,20000.0
154,23000.0
155,27714.285714285714
156,30000.0
157,30000.0
158,28000.0
159,29428.571428571428
160,26142.85714285714
161,30714.285714285714
162,39285.71428571428
163,35714.28571428572
164,41785.71428571428
165,41428.57142857143
166,38857.142857142855
167,40000.0
168,42857.142857142855
169,36857.142857142855
170,30714.285714285714
171,30000.0
172,29428.571428571428
173,25000.0
174,25000.0
175,25000.0
176,21428.571428571428
177,19142.85714285714
178,18000.0
179,17428.571428571428
180,18714.285714285714
181,20000.0
182,21428.571428571428
183,19142.85714285714
184,19357.14285714286
185,20000.0
186,20000.0
187,20857.14285714286
188,22000.0
189,22000.0
